strength,size,separation,noisefrac,mn_sag,mn_sgd,mn_pcpt,mn_passAgr,md_sag,md_sgd,md_pcpt,md_passAgr,var_sag,var_sgd,var_pcpt,var_passAgr
300,100,0.3,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.3,0.9,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.45,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.31,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.65,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.31,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.31,0.85,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.31,0.9,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.32,0.9,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.9,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.34,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.05,1,1,1,1,1,1,1,1,0,0,0,0
